"Duration","Amplitude","Type"
"104.76","8","ROCKFALL"
"123.72","26","ROCKFALL"
"121.52","12","ROCKFALL"
"124","4","ROCKFALL"
"35.24","3","ROCKFALL"
"114.6","7","ROCKFALL"
"193.44","21","ROCKFALL"
"114.84","10","ROCKFALL"
"133","19","ROCKFALL"
"121.64","9","ROCKFALL"
"128.72","7","ROCKFALL"
"88.92","5","ROCKFALL"
"103.84","7","ROCKFALL"
"148.76","5","ROCKFALL"
"103.96","5","ROCKFALL"
"108.92","11","ROCKFALL"
"103.2","4","ROCKFALL"
"104.96","8","ROCKFALL"
"86.88","3","ROCKFALL"
"64.68","4","ROCKFALL"
"71.88","5","ROCKFALL"
"121.12","3","ROCKFALL"
"74.96","3","ROCKFALL"
"172.36","6","ROCKFALL"
"113.48","3","ROCKFALL"
"131.32","4","ROCKFALL"
"129.6","5","ROCKFALL"
"89.92","3","ROCKFALL"
"82.68","5","ROCKFALL"
"10.4","4","LF"
"66.4","4","ROCKFALL"
"8.24","4","LF"
"77.44","4","ROCKFALL"
"68.36","3","ROCKFALL"
"23.08","4","ROCKFALL"
"55.28","3","ROCKFALL"
"80.6","4","ROCKFALL"
"84.44","4","ROCKFALL"
"89.28","3","ROCKFALL"
"165.92","3","ROCKFALL"
"111.08","3","ROCKFALL"
"131.28","3","ROCKFALL"
"67.2","3","ROCKFALL"
"138.52","7","ROCKFALL"
"122.32","3","ROCKFALL"
"131.12","7","ROCKFALL"
"107.8","6","ROCKFALL"
"116.6","4","ROCKFALL"
"173.52","6","ROCKFALL"
"59.84","5","ROCKFALL"
"118.6","23","ROCKFALL"
"180.24","4","ROCKFALL"
"111.24","5","ROCKFALL"
"135","6","ROCKFALL"
"225.92","4","ROCKFALL"
"130.92","11","ROCKFALL"
"110.92","9","ROCKFALL"
"179.12","6","ROCKFALL"
"196.8","17","ROCKFALL"
"116.8","7","ROCKFALL"
"226.92","40","ROCKFALL"
"107.52","12","ROCKFALL"
"103.2","15","ROCKFALL"
"72.64","9","ROCKFALL"
"82.44","11","ROCKFALL"
"60.04","6","ROCKFALL"
"33.4","4","ROCKFALL"
"123.08","23","ROCKFALL"
"109.84","31","ROCKFALL"
"54.36","6","ROCKFALL"
"114.08","13","ROCKFALL"
"164.12","25","ROCKFALL"
"147.64","35","ROCKFALL"
"106.96","11","ROCKFALL"
"156.76","8","ROCKFALL"
"79.16","6","ROCKFALL"
"68.44","4","ROCKFALL"
"99.16","9","ROCKFALL"
"89.76","5","ROCKFALL"
"32.6","4","ROCKFALL"
"79.2","4","ROCKFALL"
"133.64","10","ROCKFALL"
"104.52","4","ROCKFALL"
"112.6","5","ROCKFALL"
"87.96","4","ROCKFALL"
"111.96","5","ROCKFALL"
"23.32","5","ROCKFALL"
"87.04","5","ROCKFALL"
"141.08","8","ROCKFALL"
"114.88","12","ROCKFALL"
"91.28","12","ROCKFALL"
"135.12","12","ROCKFALL"
"91.92","12","ROCKFALL"
"51.96","8","ROCKFALL"
"85.48","4","ROCKFALL"
"130.4","4","ROCKFALL"
"63.68","4","ROCKFALL"
"107.72","25","ROCKFALL"
"73.4","4","ROCKFALL"
"57.36","20","ROCKFALL"
"108.84","15","ROCKFALL"
"107.96","7","ROCKFALL"
"89.24","4","ROCKFALL"
"72.6","4","ROCKFALL"
"7.64","4","LF"
"61.76","4","ROCKFALL"
"130.4","6","ROCKFALL"
"100.68","6","ROCKFALL"
"104.24","6","ROCKFALL"
"92.36","35","ROCKFALL"
"122.84","20","ROCKFALL"
"13.72","30","LF"
"76.04","12","ROCKFALL"
"88.12","4","ROCKFALL"
"59.12","4","ROCKFALL"
"9","4","LF"
"86.12","4","ROCKFALL"
"105.24","15","ROCKFALL"
